Unnamed: 0,time,club,id,first_name,gender,trained_10_week,trained_im,has_trainer,Age,VO2 Max,BMI,n Marathons run,Cadence
5363,03:26:40,0,5345,Vaida,female,3,5,0,30,12.71832328554809,19.05,0,157
11420,03:26:37,0,11387,Melissa,female,5,6,0,38,13.46,21.13,0,165
6604,03:20:41,0,6585,Cheryl,female,0,4,0,43,12.71832328554809,19.75,0,166
14648,03:18:24,0,14601,Joanne,female,5,5,0,42,21.03,19.73,0,167
3156,03:18:24,0,3146,Diane,female,5,5,0,32,14.47,22.0,0,155
1961,03:18:23,0,1958,Honor,female,2,7,0,41,20.72,19.35,0,157
11419,03:18:23,0,11386,Linda,female,0,0,0,33,12.71832328554809,20.11,0,157
11418,03:18:22,0,11385,Sky,female,4,5,0,37,12.18,18.19,0,165
4663,03:18:21,0,4646,Gemma,female,0,0,0,34,13.3,17.86,0,154
9679,03:09:36,0,9652,Michelle,female,6,6,0,39,15.61,21.69,0,159
7447,03:09:36,0,7425,Caroline,female,1,1,0,39,14.31,19.42,0,159
4169,03:03:54,0,4156,Angela,female,1,2,0,33,15.68,18.01,0,153
3842,02:59:53,0,3830,Laura,female,3,3,0,28,14.64,22.08,0,160
3153,02:58:16,0,3143,Joanne,female,0,2,0,40,25.11,20.38,0,164
1959,02:57:38,0,1956,Karina,female,5,5,0,44,18.71,22.9,0,160
12793,02:56:50,0,12756,Rachel,female,0,4,0,24,12.71832328554809,17.59,0,155
4661,02:56:45,0,4644,Angela,female,1,1,0,43,12.71832328554809,19.49,0,163
14566,02:55:52,0,14523,Catharine,female,0,5,0,38,12.71832328554809,19.97,0,158
13454,02:55:48,0,13412,Anne,female,3,3,0,37,17.26,20.89,0,153
12791,02:55:34,0,12754,Vanessa,female,0,5,0,32,18.79,21.22,0,165
13312,02:55:34,0,13271,Jane,female,1,4,0,39,12.71832328554809,20.86,0,154
3152,02:55:29,1,3142,Sarah,female,0,3,0,33,16.35,18.97,0,174
1958,02:54:27,0,1955,Susan,female,3,3,0,38,14.42,21.78,0,160
8056,02:54:23,0,8034,Joanna,female,2,2,0,31,12.71832328554809,22.29,0,163
8055,02:54:15,0,8033,Emma,female,3,3,0,41,32.84,20.49,0,153
10694,02:53:54,0,10664,Lisa,female,2,2,0,33,31.57,18.26,0,161
5362,02:51:43,0,5344,Anna,female,5,5,0,30,26.33,22.95,0,161
