Unnamed: 0,time,club,id,first_name,gender,trained_10_week,trained_im,has_trainer,Age,VO2 Max,BMI,n Marathons run,Cadence
9408,03:21:11,1,9384,James,male,0,1,0,38,20.01,18.86,0,154
8060,03:11:02,0,8038,Christopher,male,2,2,0,37,11.84,19.05,0,157
8059,03:11:02,0,8037,Ryan,male,5,5,0,41,10.93,19.9,0,156
3155,03:05:45,1,3145,Sam,male,3,3,0,32,12.71832328554809,21.57,0,158
8058,03:04:39,0,8036,Anthony,male,0,4,0,43,11.69,18.94,0,158
11417,03:04:38,0,11384,Alistair,male,1,7,0,41,27.77,23.22,0,161
6603,03:04:38,0,6584,Abi,male,0,2,0,32,13.02,19.96,0,167
1960,03:04:37,0,1957,Jake,male,1,2,0,51,12.71832328554809,21.76,0,161
3154,03:04:37,0,3144,Ben,male,0,6,0,40,21.47,19.62,0,164
9407,03:04:36,0,9383,Albie,male,5,5,0,38,27.75,19.51,0,166
11416,03:03:15,0,11383,Ilar,male,0,1,0,30,14.06,20.78,0,166
7094,03:01:07,0,7072,Nelson,male,0,2,0,43,17.69,20.25,0,161
4662,02:59:58,0,4645,John,male,0,3,0,34,12.71832328554809,21.83,0,163
9406,02:59:52,1,9382,Paul,male,4,4,0,38,12.71832328554809,19.96,0,151
8057,02:57:01,0,8035,Kim-marina,male,2,2,0,33,12.71832328554809,20.94,0,164
6602,02:56:58,0,6583,Alex,male,2,2,0,50,25.59,20.6,0,162
14565,02:55:49,0,14522,Mark,male,2,3,0,34,23.55,20.85,0,167
14563,02:55:36,0,14520,Ashanthie,male,1,4,0,39,36.65,20.68,0,156
14564,02:55:36,0,14521,Minolie,male,1,4,0,30,12.71832328554809,22.48,0,165
12792,02:55:34,0,12755,Paul,male,8,8,0,33,25.65,18.79,0,162
12790,02:55:33,0,12753,Mark,male,3,4,0,50,15.64,21.1,0,151
14562,02:54:23,0,14519,Alvin,male,0,3,0,32,18.44,19.47,0,153
7093,02:53:10,0,7071,Craig,male,4,4,0,36,12.71832328554809,21.35,0,165
7092,02:52:04,0,7070,Sam,male,0,4,0,45,12.71832328554809,19.0,0,158
4168,02:51:46,0,4155,Seraphina,male,0,1,0,27,15.92,19.86,0,155
12789,02:50:53,0,12752,Garry,male,2,4,0,38,10.72,19.1,0,159
7091,02:49:25,0,7069,Roger,male,0,6,0,34,15.55,19.62,0,162
3840,02:48:26,0,3828,Michael,male,2,5,0,39,22.03,19.82,0,159
3150,02:48:18,0,3140,Roger,male,4,4,0,31,12.71832328554809,16.68,0,165
14561,02:48:15,0,14518,Ben,male,4,4,0,35,15.54,20.47,0,166
11414,02:47:45,0,11381,Scott,male,0,3,0,36,12.71832328554809,19.8,0,158
6600,02:47:11,0,6581,Rowen,male,0,3,0,31,19.54,21.48,0,156
3149,02:46:38,0,3139,Mick,male,1,2,0,37,17.26,23.0,0,164
9403,02:46:37,0,9379,Paul,male,0,5,0,34,12.71832328554809,22.17,0,158
10693,02:46:23,0,10663,Malcolm,male,0,4,0,38,15.31,18.75,0,157
5359,02:46:01,1,5341,David,male,0,3,0,31,31.77,22.54,0,156
13345,02:45:09,0,13303,Gary,male,0,2,0,33,12.59,19.44,0,165
452,02:44:45,0,452,Steve,male,0,4,0,38,12.71832328554809,22.08,0,150
7445,02:44:42,0,7423,Jo,male,2,7,0,32,18.34,17.94,0,158
3146,02:44:34,0,3136,Bex,male,3,3,0,43,16.0,19.86,0,160
14557,02:43:45,0,14514,Martyn,male,0,4,0,40,12.71832328554809,23.25,0,158
8053,02:43:38,0,8031,Thomas,male,3,3,0,30,17.2,21.22,0,162
11413,02:43:38,0,11380,Dave,male,0,4,0,34,22.13,21.41,0,165
9401,02:41:06,0,9377,Steve,male,1,3,0,35,13.36,20.96,0,166
6590,02:40:03,0,6571,Russell,male,0,3,0,41,11.21,17.95,0,161
1950,02:39:53,1,1947,Michael,male,4,4,0,32,11.72,20.06,0,162
7086,02:39:51,0,7064,Scott,male,0,4,0,32,12.94,19.68,0,156
12783,02:39:23,1,12746,John,male,2,3,0,42,14.59,20.05,0,155
12782,02:39:22,1,12745,Albert,male,0,7,1,37,25.39,21.04,0,161
13452,02:39:07,0,13410,Jason,male,0,7,0,38,12.71832328554809,20.44,0,165
6589,02:39:03,0,6570,Paul,male,3,3,0,34,12.71832328554809,21.76,0,156
1949,02:38:21,1,1946,Ian,male,0,1,0,39,12.71832328554809,23.82,0,159
9398,02:37:59,0,9374,Jagjit,male,0,7,0,27,22.16,20.35,0,149
9395,02:37:54,0,9371,Ross,male,0,3,0,34,16.29,21.79,0,165
9396,02:37:54,0,9372,Shane,male,2,2,0,43,21.63,18.05,0,153
6675,02:37:48,0,6653,Dave,male,4,4,0,40,36.72,18.18,0,163
14555,02:37:27,0,14512,Jacob,male,0,4,0,43,10.23,21.18,0,156
3837,02:37:01,0,3825,Jim,male,0,6,0,41,12.71832328554809,18.75,0,164
9394,02:35:51,0,9370,Ahnaf,male,0,4,0,29,17.39,19.52,0,164
3835,02:35:31,0,3823,Joe,male,0,3,0,32,12.71832328554809,20.65,0,166
7443,02:35:24,0,7421,Shell,male,2,5,0,37,12.71832328554809,21.37,0,165
5355,02:34:45,0,5337,Peter,male,1,6,0,39,20.98,19.58,0,152
3834,02:34:40,0,3822,Francis,male,4,4,0,33,10.83,19.57,0,161
9393,02:34:32,0,9369,Jackie,male,1,4,0,41,17.67,21.51,0,171
4655,02:34:29,0,4638,John,male,0,0,0,41,20.71,20.52,0,163
4654,02:34:13,0,4637,John,male,0,4,0,34,12.71832328554809,20.51,0,158
4653,02:34:13,0,4636,Pete,male,2,5,1,38,27.93,18.35,0,165
6584,02:34:03,0,6565,Charles,male,4,4,0,35,11.75,20.57,0,158
3833,02:33:53,0,3821,Matt,male,6,6,0,39,21.81,22.18,0,165
8049,02:32:04,1,8027,Michael,male,0,3,0,45,33.8,17.34,0,170
9389,02:31:43,0,9365,David,male,0,2,0,34,14.06,18.35,0,169
10688,02:31:21,0,10658,Charlie,male,1,1,0,35,12.71832328554809,21.04,0,171
9922,02:31:16,1,9895,Dave,male,4,4,1,22,29.19,19.45,0,158
9387,02:30:54,0,9363,Jason,male,5,5,0,37,30.97,18.48,0,164
12775,02:30:54,0,12738,Geoff,male,3,5,0,44,19.63,22.23,0,169
7441,02:30:43,0,7419,Nick,male,3,3,0,42,22.18,23.29,0,155
9382,02:29:54,0,9358,Ian,male,0,2,0,34,12.71832328554809,21.87,0,154
3135,02:29:51,0,3125,Hayleigh,male,2,2,0,39,23.8,20.06,0,152
13451,02:29:36,0,13409,Jude,male,5,5,0,38,11.32,20.18,0,160
9921,02:29:18,0,9894,Oliver,male,0,6,0,45,23.28,21.52,0,162
12773,02:29:05,0,12736,Robert,male,1,7,0,31,10.04,21.15,0,159
6576,02:28:09,0,6557,Sid,male,1,3,0,24,12.71832328554809,21.23,0,157
4166,02:27:53,0,4153,Tom,male,0,3,0,31,12.71832328554809,20.3,0,157
9920,02:27:50,0,9893,Shaun,male,0,0,0,38,18.83,19.12,0,152
1939,02:27:42,0,1936,Stephen,male,0,3,0,48,19.52,20.02,0,170
445,02:27:11,0,445,Tayla,male,0,7,0,42,21.18,21.99,0,158
14547,02:27:11,0,14504,Toby,male,0,2,0,43,11.47,19.85,0,160
14546,02:26:48,0,14503,Russell,male,5,5,0,35,12.71832328554809,20.73,0,149
10685,02:26:44,0,10655,Maysie,male,0,2,0,39,27.49,19.97,0,160
3131,02:26:30,0,3121,Richard,male,0,3,0,40,20.0,20.65,0,160
10683,02:26:29,0,10653,Richard,male,0,1,0,39,19.77,18.97,0,156
5345,02:26:08,0,5327,Rahab,male,1,3,0,37,30.2,19.81,0,157
441,02:25:41,0,441,Andy,male,3,3,0,28,29.09,21.35,0,165
9379,02:25:40,0,9355,Joseph,male,0,1,0,39,15.67,17.84,0,158
1937,02:25:29,0,1934,Jess,male,3,3,0,34,19.53,21.87,0,162
6568,02:25:28,0,6549,Ed,male,2,5,0,41,12.41,20.77,0,165
12770,02:25:18,0,12733,Charlie,male,0,2,0,31,20.46,21.31,0,163
4650,02:25:05,0,4633,Paul,male,4,4,0,33,25.72,21.54,0,159
12769,02:25:03,0,12732,Phillip,male,1,1,0,33,21.66,19.33,0,163
7079,02:24:57,0,7057,Brian,male,3,3,0,34,11.51,21.56,0,163
4164,02:24:43,0,4151,Charlie,male,0,1,0,38,34.66,19.17,0,171
1934,02:24:41,0,1931,Gary,male,0,4,0,36,13.16,21.02,0,158
6567,02:24:37,0,6548,Mark,male,0,2,0,35,18.33,19.98,0,165
4162,02:24:34,0,4149,Iestyn,male,0,3,0,34,26.74,20.59,0,157
9919,02:24:12,0,9892,David,male,0,4,0,39,12.71832328554809,19.15,0,161
5344,02:24:06,0,5326,David,male,0,3,0,28,13.22,18.8,0,163
12767,02:24:05,0,12730,Craig,male,2,4,0,38,23.06,18.99,1,161
1930,02:23:45,0,1927,Ben,male,5,5,0,39,12.71832328554809,20.87,0,159
6564,02:23:27,0,6545,Matthew,male,0,1,0,44,20.11,17.86,0,169
3829,02:23:27,0,3817,Dave,male,0,3,0,38,14.04,21.13,0,162
6563,02:23:27,0,6544,Ed,male,2,2,0,40,12.71832328554809,18.4,0,166
9371,02:23:15,0,9347,Jimmy,male,0,0,0,36,42.4,18.11,1,155
3827,02:23:05,0,3815,Ethan,male,1,1,0,38,21.99,22.19,1,162
11403,02:23:01,0,11370,Kieron,male,4,4,0,38,12.71832328554809,21.71,0,163
14544,02:22:55,0,14501,Mike,male,5,5,0,34,16.43,21.19,1,167
9368,02:22:44,0,9344,Anthony,male,1,2,0,37,10.36,21.62,1,157
4160,02:22:40,0,4147,Ash,male,0,0,0,41,12.98,21.65,0,163
9367,02:22:38,0,9343,Riley,male,0,6,0,37,14.38,18.3,1,167
10678,02:22:37,0,10648,Nicky,male,2,2,0,24,21.49,18.52,0,164
1924,02:22:26,0,1921,Chris,male,0,6,0,35,13.6,18.93,1,153
3826,02:22:19,1,3814,Vincent,male,1,2,0,37,20.04,22.56,1,164
5340,02:22:07,0,5322,James,male,2,2,0,40,32.09,20.74,1,157
